pubMed,clinicTrial
816,964
706,319
493,426
18,326
334,519
680,128
634,173
449,787
465,75
184,539
27,615
153,211
221,251
712,174
165,512
928,869
293,492
169,292
467,875
650,674
406,589
882,287
547,751
949,463
760,665
46,453
82,596
350,195
323,855
170,504
732,333
388,236
560,95
34,521
60,231
344,578
755,361
129,446
715,406
860,652
302,152
966,771
736,716
933,267
747,343
218,825
127,645
31,634
272,817
743,466
44,55
461,908
143,486
112,164
800,515
686,270
771,239
607,119
740,380
483,569
98,558
75,537
620,63
10,929
611,600
631,662
66,296
145,112
761,462
320,115
642,487
918,786
87,402
805,952
341,735
224,555
558,799
551,963
462,114
647,51
182,169
562,176
697,738
504,503
290,685
907,480
727,598
827,80
426,982
207,740
807,843
793,616
877,773
746,404
267,336
110,221
632,736
888,308
395,244
22,986
851,810
797,481
550,988
65,777
126,451
181,940
618,872
527,205
422,859
595,724
917,497
723,389
42,939
910,529
25,419
125,720
137,630
258,378
371,209
331,476
191,65
389,396
876,188
814,43
93,511
287,913
961,273
335,471
948,892
857,531
944,325
220,582
435,160
639,977
141,143
71,149
773,469
759,874
974,666
154,233
359,49
978,358
963,878
136,935
242,992
735,39
896,130
601,862
432,774
871,619
396,416
79,932
593,323
505,23
340,590
7,467
196,384
472,408
398,13
257,681
673,76
189,229
50,846
32,618
195,11
171,572
796,40
699,877
979,805
80,505
726,145
691,921
648,166
514,288
440,48
764,218
351,984
606,745
951,523
635,100
809,969
834,473
